slide,name,eff,cost,rarity
24,트리플 엘비스,같은 영역 종류 3회 맞추면 배수 + 6,4,일반
24,교통카드,조준방식이 [멀미]로 전환된다,4,일반
24,사진기,판 시작 시 사진 1장 획득,8,희귀
24,책문관의 바퀴,판시작시 오른쪽 동전을 파괴하고 판매한 동전의 판매가 만큼 배수 축적,8,희귀
24,과자집,사탕을 사용할 때마다 X배수 + 0.1,8,희귀
24,의사 콜라,판매후 다음 건너뛰기 보상 2번 획득,8,희귀
24,π,"마지막 다트라면 1,3,4 슬롯 동전 다시 발동",8,희귀
24,LIVE. DIE. REPEAT.,상점에서 리롤할 때마다 배수 +1축적,8,희귀
25,월 스트리트,판이 끝날때마다 모든 동전 판매가 +1G,8,희귀
25,난쟁이의 축구공,2 · 3 · 4 · 5 를 맞추면 점수에 맞춘 영역 점수를 더한다,8,희귀
25,딱정벌레의 도로,연속으로 맞춘 두 숫자의 합이 11이면 배수X4,8,희귀
25,도리안의 초상,판을 고를때마다 X배수 0.5축적  · 동전 1개 파괴,8,희귀
25,BULLET TIME,점수 +100 · 다트 -2,8,희귀
25,대머리,처음 던지는 두발은 점수 +8 · 배수 +8,8,희귀
25,D20,모든 확률을 2배로 만든다,8,희귀
25,오크통,판 클리어시 판매가 +1G · 보스 클리어시 판매가 +2G,8,희귀
25,도플겡어,같은 동전이 상점에 여러 번 나올수 있다,8,희귀
25,To The Mars,이자를 보유한 골드 10당 +1 더 받는다,8,희귀
25,0+0,1/6 확률로 맞춘 트랙 레벨 +1,8,희귀
25,머니건,보유 골드당 점수 +2,8,희귀
25,데스 이터스,런 실패 1회 방지 (단. 목표점수 50% 도달했을시만 발동),8,희귀
25,그 탑을 잡아라,트리플 · 더블 명중시 점수 + 20,8,희귀
25,스포트라이트,볼 명중시 배수 +8,8,희귀
25,WHITE ALBUM,백색 칸 명중시 +1G 획득,8,희귀
25,심장의 색깔은,흑색 칸 명중시 점수+ 8 · 배수 + 8,8,희귀
25,비포 선라이즈,직전과 다른 숫자면 점수 +12,8,희귀
25,퍼스트블러드,판에서 첫 다트일 때 점수+44,8,희귀
26,SAFETY LAST!,마지막 다트일 때 배수 X3,8,희귀
26,Mistake,직전 투척이 보드 아웃이면 배수 X2,8,희귀
26,피보나치,1·2·3·5·8·13 명중시 배수 +8,8,희귀
26,프로선수,트리플 명중후 다시 트리플 명중시 점수 +30,8,희귀
26,손목 시계,순서대로 20·6·3·11명중후 다음 투척에 배수 X12,8,희귀
26,태양계,조준방식이 [원]으로 전환된다,12,레어
26,수전증,조준방식이 [수전증]으로 전환된다,12,레어
26,더 사일런트,조준방식이 [단검]으로 전환된다 · 점수의 배수의 배율이 증가한다,12,레어
26,카우보이,조준방식이 [겹]으로 전환된다 · 점수의 배수의 배율이 증가한다,12,레어
26,석양이 진다,조준방식이 [리볼버]으로 전환된다 · 점수의 배수의 배율이 감소한다,12,레어
26,시아노타입,오른쪽 동전의 효과를 복사한다,12,레어
26,COPPEE,맨 왼쪽의 동전 효과를 복사한다,12,레어
26,그레고르 잠자,7판 클리어후 보유중인 동전중 랜덤을 변신,12,레어
26,불사의 토템,런 실패 1회 방지,12,레어
26,보팔 소드,볼스아이 크기 대폭 감소 · 볼스아이 명중시 즉시 판 클리어,12,레어
26,자판기,동전 판매마다 X1배수  +1 · 보스 클리어시 초기화,12,레어
26,비너스,희귀 동전 마다 X1.5배수 획득,12,레어
26,88날어,8을 맞출때마다 점수 +8 축적,12,레어
26,빌리의 바지,점수 +40 · 배수 +4,12,레어
27,정조준,조준방식이 [명사수]로 전환된다,,레전더리
27,잭과 콩나무,다트 투척때마다 다트 크기가 커진다 · 다트가 점수를 다중으로 획득할 수 있다,,레전더리
27,NULL,다트 보드 처치하면 즉시 완주,,레전더리
27,데칼코마니,점수와 배수의 수를 수평 맞춘다,,레전더리
27,녹는 시계,판 종료시 남은 다트는 다음 판으로 이월한다,,레전더리
