갈래	자리	전	후	메모
배움	u_rack,2	왼쪽부터 차례로 발동합니다. 순서가 값을 바꿉니다	왼쪽부터 차례로 켜진다 · 순서가 값을 바꾼다	
배움	u_give,1	카운터 위로 올리면 상인이 받아 봅니다	카운터 위로 올리면 상인이 받아 본다	
배움	u_reroll,1	리롤은 매물을 새로 깝니다	리롤은 매물을 새로 깐다	
배움	u_cons,1	사탕은 화면 가운데로 끌면 씁니다	사탕은 화면 가운데로 끌면 쓴다	
배움	u_pack,1	팩은 쏟아진 것 중 몫만큼 고릅니다	팩은 쏟아진 것 중 몫만큼 고른다	
챌린지	solo 홑장	동전을 한 장만 들 수 있다 · 그 동전 효과 3배	동전을 한 장만 든다 · 그 동전 효과 3배	
챌린지	stack 겹치기	판마다 제약이 둘 걸린다 · 판 클리어 보상 2배	판마다 제약이 둘 걸린다 · 넘김 보상 2배	
판 위 안내줄	data.gd AIM_HINT std 1	다트판을 눌러 높이 결정	높이 잡기	
판 위 안내줄	data.gd AIM_HINT std 2	다트판을 눌러 좌우 결정	좌우 잡기	
판 위 안내줄	data.gd AIM_HINT ring 1	다트판을 눌러 원 크기 결정	원 크기 잡기	
판 위 안내줄	data.gd AIM_HINT ring 2	다트판을 눌러 각도 결정	각도 잡기	
판 위 안내줄	data.gd AIM_HINT tilt 1	다트판을 눌러 첫 축 결정	첫 축 잡기	
판 위 안내줄	data.gd AIM_HINT tilt 2	다트판을 눌러 둘째 축 결정	둘째 축 잡기	
판 위 안내줄	data.gd AIM_HINT cross	다트판을 눌러 교차점 결정	교차점 잡기	
판 위 안내줄	data.gd AIM_HINT drift	떠도는 조준점을 눌러 결정	떠도는 조준점 잡기	
화면 글	game.gd:2334 정산 내역 첫 줄	클리어 보상	넘김 보상	
화면 글	game.gd:28161 정산 제목	라운드 %d  %s 클리어	라운드 %d  %s 넘김	
화면 글	game.gd:15730 사진 거절줄	상점이나 판 선택에서 쓴다	상점·판 선택에서 쓴다	
화면 글	game.gd:25491 · 28868 상점 거절줄	테이블 물건만 살 수 있다	테이블 물건만 산다	
화면 글	game.gd:25542 · 28870 상점 거절줄	가진 것만 팔 수 있다	가진 것만 판다	
화면 글	game.gd:36378 런 정보 탭 이름	보유	가진 것	
화면 글	game.gd:34509 _league_lines 작은 판	작은 판 클리어 보상 %d골드	작은 판 넘김 보상 %d골드	
리그	초록~검정 일곱 단에 실제로 뜨는 줄 (reward_small 0)	작은 판 클리어 보상 0골드	작은 판 넘김 보상 0골드	
개발자 판	dev.gd:660 줄 이름	이 판 클리어	이 판 넘기기	
개발자 판	dev.gd:1296 알림	클리어	넘김	
검증기 말	data.gd:2554	%s — 방식을 쥔 동전에 발동 조건이 붙었다	%s — 방식을 쥔 동전에 조건이 붙었다	
검증기 말	data.gd:2563	%s — 효과도 부가도 없는 빈 카드다	%s — 효과도 부가도 없는 빈 동전이다	
검증기 말	data.gd 상위호환 경고	… 두 장을 같이 사면 조건 없는 카드가 된다	… 두 장을 같이 사면 조건 없는 동전이 된다	
생성기	data.gd:1795·1783·1847 eff_line dadd	판 시작 다트 +N	다트 +N	다트통 줄이 이미 쓰는 꼴 (「다트 +1」 「다트 −3」)
생성기	data.gd:1809 eff_line carry	남은 다트 1개당 다음 판 시작 다트 +1	남은 다트 1개당 다음 판 다트 +1	「다음 판」은 남긴다 — 이것만 한 판짜리다
생성기	data.gd:1714 cond_text few	판 시작 다트가 3개 이하면	시작 다트가 3개 이하면	「시작」은 남긴다 — 빼면 남은 다트로 읽힌다
동전	c32 1-UP	판 시작 다트 +1	다트 +1	1줄 그대로
동전	u11 BULLET TIME	점수 +100 · 판 시작 다트 −2	점수 +100 · 다트 −2	1줄 그대로
동전	c14 스파르타	판 시작 다트가 3개 이하면 배수 +10	시작 다트가 3개 이하면 배수 +10	2줄 그대로
동전	l05 녹는 시계	남은 다트 1개당 다음 판 시작 다트 +1	남은 다트 1개당 다음 판 다트 +1	2줄 그대로
제약	short 단벌	판 시작 다트 −1	다트 −1	1줄 그대로
배움	u_shop,1	판이 끝나면 상인이 물건을 깐다	판이 끝나면 상인이 물건을 내놓는다	「깔다」는 자리·좌판을 목적어로 받는 말이다
배움	u_reroll,1	리롤은 매물을 새로 깐다	리롤하면 물건이 새로 나온다	같은 이유 · 「매물」도 「물건」으로 모았다
