id,name,rarity,cond,kind,value,cost,fire_pct,gain_per_dart,gain_per_leg,gain_per_gold,gold_per_leg,board,aim_model,samples,seed,_src_hash
u31,딱정벌레의 도로,uncommon,sum11,xmult,4,8,0.00,0.00,0.00,0.000,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
u11,BULLET TIME,uncommon,always,chip,100,8,62.30,89.31,535.89,11.164,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
u18,머니건,uncommon,always,chip,2,8,62.30,0.00,0.00,0.000,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
u19,데스 이터스,uncommon,always,save,50,8,62.30,0.00,0.00,0.000,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
u20,그 탑을 잡아라,uncommon,band,chip,20,8,19.40,9.28,55.70,1.160,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
u21,스포트라이트,uncommon,bull,mult,8,8,1.18,2.79,16.77,0.349,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
u22,WHITE ALBUM,uncommon,col:0,,0,8,30.54,0.00,0.00,0.000,1.83,base,uniform_sq,360000,20260821,b85343dcd84b
u23,심장의 색깔은,uncommon,col:1,chip,8,8,30.58,28.69,172.17,3.587,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
u24,비포 선라이즈,uncommon,diff,chip,12,8,60.75,10.45,62.69,1.306,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
u25,퍼스트블러드,uncommon,first,chip,44,8,10.35,6.51,39.06,0.814,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
u26,SAFETY LAST!,uncommon,last,xmult,3,8,10.43,3.22,19.33,0.403,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
u27,Mistake,uncommon,missp,xmult,2,8,31.46,3.03,18.18,0.379,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
u28,피보나치,uncommon,sec:1;2;3;5;8;13,mult,8,8,18.46,7.89,47.35,0.986,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
u29,프로선수,uncommon,warm,chip,30,8,10.60,4.57,27.41,0.571,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
r01,태양계,rare,,,0,12,0.00,0.00,0.00,0.000,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
r02,수전증,rare,,,0,12,0.00,0.00,0.00,0.000,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
r03,더 사일런트,rare,,,0,12,0.00,0.00,0.00,0.000,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
r04,카우보이,rare,,,0,12,0.00,0.00,0.00,0.000,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
r05,석양이 진다,rare,,,0,12,0.00,0.00,0.00,0.000,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
r09,불사의 토템,rare,always,save,1,12,62.30,0.00,0.00,0.000,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
r13,88날어,rare,sec:8,chip,0,12,3.09,1.14,6.86,0.095,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
r14,빌리의 바지,rare,always,chip,40,12,62.30,62.78,376.66,5.231,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
l02,정조준,legendary,,,0,20,0.00,0.00,0.00,0.000,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
l04,잭과 콩나무,legendary,always,,0,20,62.30,0.00,0.00,0.000,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
l03,NULL,legendary,always,,0,20,62.30,0.00,0.00,0.000,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
l01,데칼코마니,legendary,,,0,20,0.00,0.00,0.00,0.000,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
l05,녹는 시계,legendary,always,,0,20,62.30,0.00,0.00,0.000,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
