wb,sheet,game_id,status,_note
110018,동전 후보,j018,보류,골드 트리거 없음
110019,동전 후보,j019,보류,스티커 연동
110020,동전 후보,j020,이식,크림 칸
110021,동전 후보,j021,이식,
110022,동전 후보,j022,보류,스티커 연동
110023,동전 후보,j023,이식,먹 칸
110024,동전 후보,j024,이식,
110025,동전 후보,j025,이식,
110026,동전 후보,j026,이식,
110027,동전 후보,j027,보류,아이템/소비 생성
110028,동전 후보,j028,보류,재발동
110029,동전 후보,j029,이식,
110030,동전 후보,j030,이식,
110031,동전 후보,j031,이식,
110032,동전 후보,j032,이식,
110033,동전 후보,j033,보류,보드 색 — 판이 두 색뿐이라 A 와 겹친다
110034,동전 후보,j034,이식,
110035,동전 후보,j035,보류,지정
110036,동전 후보,j036,이식,
110037,동전 후보,j037,이식,
110038,동전 후보,j038,이식,
110039,동전 후보,j039,이식,
110040,동전 후보,j040,이식,
110041,동전 후보,j041,이식,
110042,동전 후보,j042,보류,상점 훅
110043,동전 후보,j043,보류,스티커 연동
110044,동전 후보,j044,보류,대응 조건 없음
110045,동전 후보,j045,보류,아이템/소비 생성
110046,동전 후보,j046,이식,
110047,동전 후보,j047,이식,
110048,동전 후보,j048,이식,
110049,동전 후보,j049,이식,
110050,동전 후보,j050,이식,
110051,동전 후보,j051,이식,
110052,동전 후보,j052,보류,규칙 변경
110053,동전 후보,j053,보류,대응 조건 없음
110054,동전 후보,j054,이식,
110055,동전 후보,j055,보류,아이템/소비 생성
110056,동전 후보,j056,이식,
110057,동전 후보,j057,보류,지정
110058,동전 후보,j058,이식,
110059,동전 후보,j059,이식,
110060,동전 후보,j060,보류,보드 색 — 판이 두 색뿐이라 B 와 겹친다
110061,동전 후보,j061,이식,
110062,동전 후보,j062,이식,
110063,동전 후보,j063,이식,먹 칸
110064,동전 후보,j064,보류,상점 훅
110065,동전 후보,j065,보류,스티커 연동
110066,동전 후보,j066,보류,보드 색
110067,동전 후보,j067,이식,
110068,동전 후보,j068,이식,
110069,동전 후보,j069,보류,소비 금지 조건
110070,동전 후보,j070,이식,
110071,동전 후보,j071,보류,아이템/소비 생성
110072,동전 후보,j072,보류,지정
110073,동전 후보,j073,보류,아이템 파괴 연동
110074,동전 후보,j074,보류,임시 다트
110075,동전 후보,j075,보류,스티커 연동
110076,동전 후보,j076,보류,소수 배수
110077,동전 후보,j077,보류,상점 훅
110078,동전 후보,j078,보류,재발동
110079,동전 후보,j079,이식,
110080,동전 후보,j080,이식,
110081,동전 후보,j081,보류,상점 훅
110082,동전 후보,j082,이식,
110083,동전 후보,j083,보류,규칙 변경
110084,동전 후보,j084,보류,판매가 성장
110085,동전 후보,j085,보류,다트 파괴 연동
110086,동전 후보,j086,보류,재발동
110087,동전 후보,j087,보류,스티커 연동
110088,동전 후보,j088,보류,소수 배수
110089,동전 후보,j089,이식,
110090,동전 후보,j090,이식,
110091,동전 후보,j091,보류,규칙 변경
110092,동전 후보,j092,보류,소수 배수
110093,동전 후보,j093,보류,소수 배수
110094,동전 후보,j094,보류,임시 다트
110095,동전 후보,j095,보류,대응 조건 없음
110096,동전 후보,j096,보류,다트 슬롯 미정
110097,동전 후보,j097,보류,스티커 연동
110098,동전 후보,j098,보류,재발동
110099,동전 후보,j099,이식,
110100,동전 후보,j100,이식,먹 칸
110101,동전 후보,j101,보류,규칙 변경
110102,동전 후보,j102,보류,규칙 변경
110103,동전 후보,j103,보류,소수 배수
110104,동전 후보,j104,보류,골드 성장 불가
110105,동전 후보,j105,이식,크림 칸으로 옮겼다
110106,동전 후보,j106,보류,골드 트리거 없음
110107,동전 후보,j107,보류,아이템/소비 생성
110108,동전 후보,j108,이식,
110109,동전 후보,j109,보류,재발동
110110,동전 후보,j110,보류,원본 제외
110111,동전 후보,j111,보류,규칙 변경
110112,동전 후보,j112,보류,아이템/소비 생성
110113,동전 후보,j113,보류,규칙 변경
110114,동전 후보,j114,보류,재발동
110115,동전 후보,j115,이식,
110116,동전 후보,j116,이식,
110117,동전 후보,j117,보류,소수 배수
110118,동전 후보,j118,이식,
110119,동전 후보,j119,보류,지정
110120,동전 후보,j120,보류,상점 훅
110121,동전 후보,j121,보류,골드 트리거 없음
110122,동전 후보,j122,보류,다트 파괴 연동
110123,동전 후보,j123,보류,다트 슬롯 미정
110124,동전 후보,j124,보류,임시 다트
110125,동전 후보,j125,보류,소수 배수
110126,동전 후보,j126,보류,지정
110127,동전 후보,j127,보류,소수 배수
110128,동전 후보,j128,보류,소수 배수
110129,동전 후보,j129,보류,복사/복제
110130,동전 후보,j130,보류,복사/복제
110131,동전 후보,j131,보류,대응 조건 없음
110132,동전 후보,j132,보류,상점 훅
110133,동전 후보,j133,보류,복사/복제
110134,동전 후보,j134,보류,스티커 연동
110135,동전 후보,j135,보류,소수 배수
110136,동전 후보,j136,보류,복사/복제
110137,동전 후보,j137,보류,소수 배수
110138,동전 후보,j138,이식,
110139,동전 후보,j139,이식,
110140,동전 후보,j140,이식,
110141,동전 후보,j141,이식,
110142,동전 후보,j142,이식,
110143,동전 후보,j143,이식,
110144,동전 후보,j144,보류,아이템/소비 생성
110145,동전 후보,j145,이식,
110146,동전 후보,j146,보류,다트 파괴 연동
110147,동전 후보,j147,보류,규칙 변경
110148,동전 후보,j148,보류,복사/복제
110149,동전 후보,j149,이식,
110150,동전 후보,j150,보류,대응 조건 없음
