id,원본,효과,확신
j086,Hack,2·3·4·5 를 낼 때 한 번 더 발동한다,높음
j087,?,못 짚음,낮음
j088,Hologram,덱에 카드가 늘 때마다 ×배수 +0.25,높음
j091,Chicot,보스 블라인드의 효과를 무효로 만든다,중간
j092,Lucky Cat,행운 카드가 발동할 때마다 ×배수 +0.25,높음
j093,Madness,작은·큰 블라인드를 고를 때마다 ×배수 +0.5 · 조커 하나를 부순다,높음
j094,Marble Joker,블라인드 시작 시 덱에 돌 카드 1장을 넣는다,높음
j095,Luchador,자신을 팔면 이번 보스 블라인드가 무효가 된다,높음
j096,Stuntman,점수 +250 · 손패 −2,중간
j097,Midas Mask,낸 고난도 카드가 전부 골드 카드가 된다,높음
j098,Mime,손에 쥔 카드의 효과를 한 번 더 발동한다,높음
j101,Oops! All 6s,모든 확률을 두 배로 만든다,높음
j102,Pareidolia,모든 카드를 고난도 카드로 친다,높음
j103,Ramen,×배수 2 에서 시작 · 카드를 버릴 때마다 −0.01,높음
j104,Rocket,라운드 끝에 골드 +1 · 보스를 깨면 그 값이 +2 오른다,높음
j106,Satellite,라운드 끝에 이번 런에 쓴 행성 종류 1개당 골드 +1,높음
j107,Séance,지정된 족보를 내면 스펙트럼 카드를 만든다,높음
j109,Seltzer,다음 10판 동안 낸 카드를 전부 한 번 더 발동한다,높음
j110,Shortcut,한 칸 띄운 스트레이트를 인정한다,높음
j111,Showman,같은 조커·소비품이 상점에 여러 번 나올 수 있다,높음
j112,Sixth Sense,판 첫 수에 6 한 장만 내면 그 카드를 부수고 스펙트럼 카드를 만든다,높음
j113,Smeared Joker,하트와 다이아를 · 스페이드와 클럽을 같은 무늬로 친다,높음
j114,Sock and Buskin,낸 고난도 카드를 한 번 더 발동한다,높음
j117,Steel Joker,덱의 강철 카드 1장당 ×배수 +0.2,높음
j119,The Idol,라운드마다 지정되는 카드를 내면 ×배수 +2,높음
j120,?,못 짚음 — 상점에서 안 사는 것에 값을 주는 장으로 보인다,낮음
j121,To the Moon,이자를 보유 골드 5당 +1 더 받는다,높음
j122,Trading Card,판 첫 수에 카드를 한 장만 버리면 그 카드를 부수고 골드 +3,높음
j123,Troubadour,손패 +2 · 한 라운드에 낼 수 있는 판 −1,중간
j124,Turtle Bean,손패 +5 에서 시작 · 라운드마다 1씩 준다,높음
j125,Vampire,강화 카드를 낼 때마다 ×배수 +0.1 · 그 강화를 없앤다,높음
j126,Ancient Joker,라운드마다 바뀌는 지정 무늬 1장당 ×배수 +1,높음
j127,Baron,손에 쥔 킹 1장당 ×배수 +1.5,중간
j128,Cavendish,×배수 3 · 라운드마다 1/1000 확률로 부서진다,중간
j129,Blueprint,오른쪽 조커의 능력을 그대로 쓴다,높음
j130,Brainstorm,맨 왼쪽 조커의 능력을 그대로 쓴다,높음
j131,Burnt Joker,라운드 첫 버리기의 족보 레벨 +1,중간
j132,Campfire,카드를 팔 때마다 ×배수 +0.25 · 보스를 깨면 처음으로 돌아간다,높음
j133,?,못 짚음 — 첫 수를 복제하는 장으로 보인다,낮음
j134,Driver's License,덱에 강화 카드가 16장 이상이면 ×배수 3,중간
j135,Ride the Bus,고난도 카드 없이 낸 판마다 배수 +1,중간
j136,Invisible Joker,세 라운드를 버틴 뒤 팔면 조커 하나를 복제한다,높음
j137,Obelisk,가장 많이 쓴 족보를 안 쓸 때마다 ×배수 +0.2,높음
j144,?,못 짚음,낮음
j146,?,못 짚음,낮음
j147,?,못 짚음 — j091 과 같은 자리를 노리는 장으로 보인다,낮음
j148,Perkeo,라운드 끝에 소비품 하나를 복제해 넣는다,중간
j150,Mr. Bones,점수가 목표의 25% 이상이면 죽지 않고 대신 자신이 사라진다,높음
